"","mesesDesde","nDonaciones","vDonado","mesesDonante"
"1",2,50,12500,98
"2",0,13,3250,28
"3",1,16,4000,35
"4",2,20,5000,45
"5",1,24,6000,77
"6",4,4,1000,4
"7",2,7,1750,14
"8",1,12,3000,35
"9",2,9,2250,22
"10",5,46,11500,98
"11",4,23,5750,58
"12",0,3,750,4
"13",2,10,2500,28
"14",1,13,3250,47
"15",2,6,1500,15
"16",2,5,1250,11
"17",2,14,3500,48
"18",2,15,3750,49
"19",2,6,1500,15
"20",2,3,750,4
"21",2,3,750,4
"22",4,11,2750,28
"23",2,6,1500,16
"24",2,6,1500,16
"25",9,9,2250,16
"26",4,14,3500,40
"27",4,6,1500,14
"28",4,12,3000,34
"29",4,5,1250,11
"30",4,8,2000,21
"31",1,14,3500,58
"32",4,10,2500,28
"33",4,10,2500,28
"34",4,9,2250,26
"35",2,16,4000,64
"36",2,8,2000,28
"37",2,12,3000,47
"38",4,6,1500,16
"39",2,14,3500,57
"40",4,7,1750,22
"41",2,13,3250,53
"42",2,5,1250,16
"43",2,5,1250,16
"44",2,5,1250,16
"45",4,20,5000,69
"46",4,9,2250,28
"47",2,9,2250,36
"48",2,2,500,2
"49",2,2,500,2
"50",2,2,500,2
"51",2,11,2750,46
"52",2,11,2750,46
"53",2,6,1500,22
"54",2,12,3000,52
"55",4,5,1250,14
"56",4,19,4750,69
"57",4,8,2000,26
"58",2,7,1750,28
"59",2,16,4000,81
"60",3,6,1500,21
"61",2,7,1750,29
"62",2,8,2000,35
"63",2,10,2500,49
"64",4,5,1250,16
"65",2,3,750,9
"66",3,16,4000,74
"67",2,4,1000,14
"68",0,2,500,4
"69",4,7,1750,25
"70",1,9,2250,51
"71",2,4,1000,16
"72",2,4,1000,16
"73",4,17,4250,71
"74",2,2,500,4
"75",2,2,500,4
"76",2,2,500,4
"77",2,4,1000,16
"78",2,2,500,4
"79",2,2,500,4
"80",2,2,500,4
"81",4,6,1500,23
"82",2,4,1000,16
"83",2,4,1000,16
"84",2,4,1000,16
"85",2,6,1500,28
"86",2,6,1500,28
"87",4,2,500,4
"88",4,2,500,4
"89",4,2,500,4
"90",2,7,1750,35
"91",4,2,500,4
"92",4,2,500,4
"93",4,2,500,4
"94",4,2,500,4
"95",12,11,2750,23
"96",4,7,1750,28
"97",3,17,4250,86
"98",4,9,2250,38
"99",4,4,1000,14
"100",5,7,1750,26
"101",4,8,2000,34
"102",2,13,3250,76
"103",4,9,2250,40
"104",2,5,1250,26
"105",2,5,1250,26
"106",6,17,4250,70
"107",0,8,2000,59
"108",3,5,1250,26
"109",2,3,750,14
"110",2,10,2500,64
"111",4,5,1250,23
"112",4,9,2250,46
"113",4,5,1250,23
"114",4,8,2000,40
"115",2,12,3000,82
"116",11,24,6000,64
"117",2,7,1750,46
"118",4,11,2750,61
"119",1,7,1750,57
"120",2,11,2750,79
"121",2,3,750,16
"122",4,5,1250,26
"123",2,6,1500,41
"124",2,5,1250,33
