"","edad","sexo","mediaAnterior","nota3"
"1",17.503170224838,"F",5.5,11
"2",16.2558052605018,"F",10,11
"3",14.1051874849945,"F",12.5,12
"4",15.4838416073471,"F",14,14
"5",15.7385825654492,"F",12,13
"6",15.221020583529,"M",12,13
"7",15.5225311815739,"M",12.5,13
"8",16.5556021137163,"F",11.5,13
"9",14.4444250650704,"M",15.5,17
"10",14.4110920224339,"M",12,13
"11",15.0839048917405,"F",14,14
"12",14.3587502283044,"F",11,13
"13",15.8605891931802,"M",12.5,12
"14",15.6483490546234,"M",12,13
"15",15.0042899791151,"M",14,15
"16",15.8915009791963,"F",17,17
"17",15.1073383102193,"F",13,14
"18",15.8162536402233,"F",13.5,14
"19",17.7742679803632,"M",8,7
"20",15.346811897587,"M",12,12
"21",14.7414653445594,"M",12.5,14
"22",14.1964361360297,"M",11.5,12
"23",15.7350985771045,"M",12.5,14
"24",15.2799834301695,"M",10,10
"25",15.8798252241686,"F",10.5,10
"26",16.7540653389879,"F",10.5,12
"27",15.9354456714354,"M",11.5,12
"28",14.6794513389468,"M",11,11
"29",16.8766798544675,"M",12,13
"30",16.1105134007521,"M",11.5,12
"31",14.3070718771778,"M",10.5,11
"32",14.801573947072,"M",15,15
"33",14.7827633139677,"M",13.5,15
"34",14.5450559798628,"M",12.5,12
"35",15.5330265709199,"M",12,12
"36",15.7569649899378,"F",11,11
"37",14.332905266434,"M",14,14
"38",16.0324107827619,"M",13,13
"39",15.8284029657952,"F",11.5,12
"40",15.7859332505614,"F",13.5,12
"41",15.0774741750211,"F",11,10
"42",14.2340347389691,"M",10.5,11
"43",14.1128890924156,"M",14.5,15
"44",14.6549967173487,"M",9.5,10
"45",15.5595303294249,"F",10.5,11
"46",14.5938704255968,"F",10.5,11
"47",16.9484749813564,"F",12.5,13
"48",15.4363586204126,"M",17,17
"49",15.1957128741778,"M",11.5,13
"50",15.7397586936131,"F",12.5,12
"51",15.2534738043323,"F",13.5,13
"52",15.0419779983349,"F",15,16
"53",15.5368715305813,"M",9.5,9
"54",14.5732250926085,"F",12.5,12
"55",14.916423226241,"F",12.5,13
"56",16.9246226283722,"F",12.5,12
"57",15.8376377946697,"F",14.5,15
"58",15.4989631720819,"M",15,16
"59",15.4478723430075,"M",13.5,14
"60",16.7023157421499,"F",15.5,16
"61",16.2594350944273,"F",16.5,16
"62",15.1436042184941,"F",10,16
"63",15.9763862653635,"F",13,10
"64",16.9860323290341,"F",13.5,13
"65",15.0532134086825,"F",12.5,12
"66",15.9278281228617,"F",15.5,16
"67",14.0882308837026,"M",11.5,12
"68",15.6243424154818,"F",9.5,10
"69",14.8701449641958,"F",10.5,11
"70",14.2632312416099,"F",15,15
"71",15.1177886188962,"M",12,11
"72",15.9302665628493,"M",10,10
"73",15.8956788475625,"F",12,11
"74",16.6128106825054,"M",13,14
"75",15.519561231602,"F",11,11
"76",14.9533217540011,"M",11,11
"77",15.1247676094063,"M",11.5,11
"78",16.3403643285856,"F",13,13
"79",16.1306529603899,"M",9,10
"80",15.0184939294122,"F",11.5,11
"81",14.3559963428415,"M",11,12
"82",14.4264442715794,"M",9.5,9
"83",14.2011377336457,"F",11.5,11
"84",14.9748414787464,"M",12.5,13
"85",14.672158870846,"F",12.5,12
"86",15.362414768897,"F",11.5,12
"87",16.2262606271543,"F",12,11
"88",15.9101747488603,"F",15,15
"89",15.6303692879155,"M",11,11
"90",16.4229939444922,"M",9,10
"91",15.1305152717978,"F",10,11
"92",14.9273194791749,"F",13.5,13
"93",16.6258316715248,"F",12.5,12
"94",15.5950254471973,"F",13.5,14
"95",15.7940545147285,"M",11.5,12
"96",15.6889869151637,"F",13,13
"97",15.1034380844794,"M",10,11
"98",16.2526629683562,"F",12.5,12
"99",16.2080793180503,"F",12.5,13
"100",16.2159106316976,"F",12.5,13
"101",15.4729332691059,"M",9,8
"102",15.8617357220501,"M",16,16
"103",14.3681611861102,"M",12.5,12
"104",14.7770411265083,"F",10.5,10
"105",14.6507593165152,"M",16,16
"106",14.4897229317576,"F",10,10
"107",14.7831858778372,"F",10,10
"108",16.4444275000133,"M",13.5,14
"109",15.8660840829834,"M",11,11
"110",15.3330244510435,"F",15,14
"111",14.4868707633577,"M",13.5,14
"112",16.4748105905019,"F",11,11
"113",16.4268259201199,"F",9,10
"114",15.4897945499979,"M",17.5,18
"115",15.3867983124219,"M",9.5,10
"116",15.9763050847687,"M",15,14
"117",14.7524386500008,"M",15.5,16
"118",15.9177759215236,"M",14,15
"119",16.7145649665035,"M",11.5,11
"120",14.4593952866271,"M",13.5,14
"121",15.8705738144927,"F",14,14
